id,type,category,categoryName,title,cover,bilibiliSrc,audioSrc,episodeDate,duration,desc,activity,credits
22,video,campus,校园传媒,快来回顾苏中新生军训名场面！2025级新生国防教育活动精彩集锦 | 华夏葳蕤蓬勃时 苏中学子亮相日,covers/cbc5552e7f6586bbc05c82389cbe1b29e869349f.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115715210346955&bvid=BV1EYmeB1EFM&cid=34725036993&p=1,,2025年12月14日,1:36,,,
23,video,campus,校园传媒,苏州中学版！《我和2035有个约》教师合唱 | 江苏省苏州中学府学990校庆大会节目,covers/343685afb25d003ac5b8a6a0b857e9a1de565bf3.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115706402178239&bvid=BV1nBm7BTEKS&cid=34695351604&p=1,,2025年12月12日,3:17,录制：苏州中学树莓社,,
24,video,campus,校园传媒,苏中990校庆！老师们合唱《如愿》| 江苏省苏州中学990校庆大会节目,covers/e869f7d8157fefc4057e188f4a2741f5cd34fe73.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115684440869295&bvid=BV1H52yByEE9&cid=34597962421&p=1,,2025年12月08日,4:30,,,
25,video,original,原创作品,【Rise】“我们能在稻田里找到什么？”苏州中学秋季社会实践活动原创短片 | 苏州中学树莓社 | 学生短片,covers/167a47b767f0135c7852c0ce8fc49a86af0c0150.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115631726791045&bvid=BV13oUZBgEC5&cid=34356921963&p=1,,2025年11月29日,3:46,【Rise】 苏州中学秋季社会实践活动原创短片 | 苏州中学树莓社 | 导演,,
26,video,campus,校园传媒,苏高中高一秋游：快—问↑快—答↑,covers/6d85465106fde629d7d0f2b6b29dcef2d1283b09.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115610738492758&bvid=BV1CzUDBBECx&cid=34258485981&p=1,,2025年11月25日,1:21,,,
27,video,original,原创作品,社团招新哪家好，中国苏州找酥糕 | 苏州中学2025社团招新树莓社创意短片,covers/73cfdad8ad6d4f7181d31a03184716e7bfe056f2.jpg,//player.bilibili.com/player.html?isOutside=true&aid=115274657302627&bvid=BV1qUnjzjEDh&cid=32670287646&p=1,,2025年09月27日,2:53,"苏州中学2025社团招新树莓社创意短片
拍摄：苏州中学树莓社
后期：苏州中学树莓社
参演：苏州中学学生及学生社团",,
28,video,campus,校园传媒,【舞蹈】Ice cream | 苏州中学2025届毕业典礼节目,covers/b32581c3d8cf2a19695167ede1eb3e38356038d2.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114739665503445&bvid=BV1xaK5zJEJn&cid=30680943493&p=1,,2025年06月25日,2:07,,,
29,video,campus,校园传媒,【歌曲】找自己 | 苏州中学2025届毕业典礼节目,covers/1f586ff67ea3d72fd5b30e898faf894e946489e6.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114737702571074&bvid=BV1neKgzaEPf&cid=30671438985&p=1,,2025年06月24日,4:59,,,
30,video,campus,校园传媒,讲不出再见 | 苏州中学2025届毕业典礼节目,covers/929b33dc707fc0cb8864ed18635f6d3d9a905941.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114736813312636&bvid=BV1ruKuzfEYU&cid=30668556226&p=1,,2025年06月24日,4:59,,,
31,video,campus,校园传媒,Another day of sun | 苏州中学2025届毕业典礼节目,covers/659949f43ad9a1edf2f29b5b61e8e0786a0155be.jpg,//player.bilibili.com/player.html?isOutside=true&aid=114734196067554&bvid=BV1xpKYzMEoa&cid=30662985099&p=1,,2025年06月24日,3:59,,,
